Log - Nov-15-2020 | 0:28:59:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:29:6:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:29:7:BCCRP Bot is ready to serve 2373 users in 3 guilds!
Log - Nov-15-2020 | 0:29:11:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:29:18:BCCRP Bot is ready to serve 2373 users in 3 guilds!
Log - Nov-15-2020 | 0:29:18:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:29:18:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:29:18:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:29:18:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:29:18:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:29:18:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:29:18:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:29:34:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:29:35:BCCRP Bot is ready to serve 2373 users in 3 guilds!
Log - Nov-15-2020 | 0:29:36:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:29:36:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:29:36:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:29:36:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:29:36:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:29:36:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:29:36:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:29:43:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:29:45:BCCRP Bot is ready to serve 2373 users in 3 guilds!
Log - Nov-15-2020 | 0:29:45:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:29:45:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:29:45:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:29:45:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:29:45:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:29:45:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:29:45:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:30:57:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:30:58:BCCRP Bot is ready to serve 2373 users in 3 guilds!
Log - Nov-15-2020 | 0:30:58:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:30:58:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:30:58:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:30:59:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:30:59:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:30:59:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:30:59:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:32:17:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:32:19:BCCRP Bot is ready to serve 2372 users in 3 guilds!
Log - Nov-15-2020 | 0:32:19:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:32:19:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:32:19:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:32:19:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:32:19:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:32:19:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:32:19:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:32:44:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:32:45:BCCRP Bot is ready to serve 2371 users in 3 guilds!
Log - Nov-15-2020 | 0:32:45:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:32:45:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:32:45:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:32:45:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:32:46:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:32:46:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:32:46:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:34:30:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:34:32:BCCRP Bot is ready to serve 2370 users in 3 guilds!
Log - Nov-15-2020 | 0:34:32:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:34:32:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:34:32:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:34:32:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:34:32:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:34:32:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:34:32:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:35:2:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:35:3:BCCRP Bot is ready to serve 2369 users in 3 guilds!
Log - Nov-15-2020 | 0:35:3:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:35:3:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:35:3:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:35:3:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:35:3:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:35:3:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:35:3:BCCRP Bot just loaded ready.ts
Log - Nov-15-2020 | 0:35:25:Connected to the MongoDB database!
Log - Nov-15-2020 | 0:35:26:BCCRP Bot is ready to serve 2369 users in 3 guilds!
Log - Nov-15-2020 | 0:35:26:BCCRP Bot just loaded ping.ts
Log - Nov-15-2020 | 0:35:26:BCCRP Bot just loaded test.ts
Log - Nov-15-2020 | 0:35:26:BCCRP Bot just loaded warn.ts
Log - Nov-15-2020 | 0:35:26:BCCRP Bot just loaded message.ts
Log - Nov-15-2020 | 0:35:26:BCCRP Bot just loaded messageDelete.ts
Log - Nov-15-2020 | 0:35:26:BCCRP Bot just loaded messageUpdate.ts
Log - Nov-15-2020 | 0:35:26:BCCRP Bot just loaded ready.ts
