Log - Oct-29-2020 | 18:17:19:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:17:19:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:17:19:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:21:7:Express server started on 5000
Log - Oct-29-2020 | 18:21:7:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:21:9:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:21:9:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:21:9:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:21:9:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:21:17:Express server started on 5000
Log - Oct-29-2020 | 18:21:17:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:21:19:BCCRP Bot is ready to serve 2146 users in 3 guilds!
Log - Oct-29-2020 | 18:21:19:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:21:19:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:21:19:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:21:19:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:21:19:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:22:36:Express server started on 5000
Log - Oct-29-2020 | 18:22:36:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:22:37:BCCRP Bot is ready to serve 2147 users in 3 guilds!
Log - Oct-29-2020 | 18:22:37:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:22:37:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:22:37:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:22:37:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:22:38:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:24:27:Express server started on 5000
Log - Oct-29-2020 | 18:24:27:Connected to the MongoDB database!
Log - Oct-29-2020 | 18:24:28:BCCRP Bot is ready to serve 2145 users in 3 guilds!
Log - Oct-29-2020 | 18:24:28:BCCRP Bot just loaded ping.ts
Log - Oct-29-2020 | 18:24:28:BCCRP Bot just loaded warn.ts
Log - Oct-29-2020 | 18:24:28:BCCRP Bot just loaded message.ts
Log - Oct-29-2020 | 18:24:28:BCCRP Bot just loaded messageDelete.ts
Log - Oct-29-2020 | 18:24:29:BCCRP Bot just loaded ready.ts
Log - Oct-29-2020 | 18:24:32:Express server started on 5000
Log - Oct-29-2020 | 18:24:32:Connected to the MongoDB database!
