Log - Oct-28-2020 | 20:32:48:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:33:12:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:33:12:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:33:12:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:33:22:Ali A#0001 (384187414584754176) just ran ping.js in Blaine County Country RP (702556315699904604)
Log - Oct-28-2020 | 20:33:43:BCCRP Bot is ready to serve 2127 users in 3 guilds!
Log - Oct-28-2020 | 20:33:43:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:33:43:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:33:44:Ali A#0001 (384187414584754176) attempted to run ping.js in Blaine County Country RP (702556315699904604) but didn't have the specified permissions.
Log - Oct-28-2020 | 20:34:4:BCCRP Bot is ready to serve 2128 users in 3 guilds!
Log - Oct-28-2020 | 20:34:4:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:34:4:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:34:15:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:34:15:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:34:15:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:34:18:ked#0001 (756958129983324322) attempted to run ping.js in Blaine County Country RP (702556315699904604) but didn't have the specified permissions.
Log - Oct-28-2020 | 20:34:50:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:34:50:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:34:50:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:34:50:Ali A#0001 (384187414584754176) attempted to run ping.js in Blaine County Country RP (702556315699904604) but didn't have the specified permissions.
Log - Oct-28-2020 | 20:35:9:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:35:9:BCCRP Bot just loaded help.ts
Log - Oct-28-2020 | 20:35:9:BCCRP Bot just loaded ping.ts
Log - Oct-28-2020 | 20:35:11:ked#0001 (756958129983324322) attempted to run ping.js in Blaine County Country RP (702556315699904604) but didn't have the specified permissions.
Log - Oct-28-2020 | 20:35:22:BCCRP Bot is ready to serve 2129 users in 3 guilds!
Log - Oct-28-2020 | 20:35:22:BCCRP Bot just loaded help.ts
